,Year,Month,compound
0,2018,1,0.07341264658634539
1,2018,2,0.07366924644549763
2,2018,3,0.10476812962962964
3,2018,4,0.08226417135549871
4,2018,5,0.11141773640167364
5,2018,6,0.13359772131147543
6,2018,7,0.06727253846153847
7,2018,8,0.13279981516587677
8,2018,9,0.14038622167487685
9,2018,10,0.12422025754060324
10,2018,11,0.12078428912466843
11,2018,12,0.12778232183908048
12,2019,1,0.1255676666666667
13,2019,2,0.10270126809651474
14,2019,3,0.10063015451895044
15,2019,4,0.14877338095238096
16,2019,5,0.16076341610738257
17,2019,6,0.11292542105263158
18,2019,7,0.16256526799007442
19,2019,8,0.12360642168674699
20,2019,9,0.15665032614555258
21,2019,10,0.20223297674418605
22,2019,11,0.1245422568306011
23,2019,12,0.09681174918566776
24,2020,1,0.09046993203883495
25,2020,2,0.09591317948717949
26,2020,3,0.07937369841269842
27,2020,4,0.1128022853470437
28,2020,5,0.1367040054644809
29,2020,6,0.11544259021406728
30,2020,7,0.13891379069767443
31,2020,8,0.13854531818181817
32,2020,9,0.09974075409836065
33,2020,10,0.06518558781362008
34,2020,11,0.11376134482758621
35,2020,12,0.17211323404255321
36,2021,1,0.17126961924686193
37,2021,2,0.07896643209876543
38,2021,3,0.10659498148148147
39,2021,4,0.14302643352601158
40,2021,5,0.16582722222222224
41,2021,6,0.11160377777777777
42,2021,7,0.12773104484304934
43,2021,8,0.18013800000000002
44,2021,9,0.0981220355987055
45,2021,10,0.1463721229946524
46,2021,11,0.137485
47,2021,12,0.1110088787878788
48,2022,1,0.10192939506172839
49,2022,2,0.10844478698224853
50,2022,3,0.1613966756756757
51,2022,4,0.10173302247191013
52,2022,5,0.12528298970840482
53,2022,6,0.09572242857142857
