,Year,Month,Fiat_con,Substanabilty_con,Dealer_con,Production_con
0,2018,1,0.17740683,0.17082621,0.10909348,0.10891701
1,2018,2,0.22448902,0.22647108,0.04973706,0.057819262
2,2018,3,0.22019655,0.21279307,0.0621879,0.050291624
3,2018,4,0.21213296,0.23039618,0.063154005,0.06049416
4,2018,5,0.2194566,0.22581834,0.05592065,0.049932446
5,2018,6,0.21522327,0.22427559,0.05954106,0.05443202
6,2018,7,0.21955475,0.21514691,0.058547184,0.057850588
7,2018,8,0.22755152,0.22575825,0.054104626,0.054072797
8,2018,9,0.21603519,0.21335171,0.05648298,0.057281207
9,2018,10,0.21090332,0.22456568,0.057835523,0.060320947
10,2018,11,0.22967455,0.22648175,0.053995997,0.049069077
11,2018,12,0.2381106,0.21741548,0.055107694,0.059905097
12,2019,1,0.21851087,0.21426898,0.055812124,0.062000953
13,2019,2,0.21159393,0.2372807,0.052118663,0.060182292
14,2019,3,0.23376565,0.20689823,0.061737098,0.054472048
15,2019,4,0.20036437,0.23157986,0.05784573,0.053550094
16,2019,5,0.21934539,0.21995316,0.058527853,0.06100315
17,2019,6,0.21857283,0.22244641,0.052321013,0.053454544
18,2019,7,0.22758672,0.22391345,0.04929227,0.057616577
19,2019,8,0.20890595,0.23100518,0.0535334,0.054766033
20,2019,9,0.2209762,0.23555076,0.05367808,0.052374903
21,2019,10,0.2238234,0.22327034,0.054265443,0.054575577
22,2019,11,0.22056757,0.22750163,0.05322664,0.0593023
23,2019,12,0.22432697,0.21706359,0.05493452,0.05619695
24,2020,1,0.2254295,0.22050321,0.051347453,0.057899535
25,2020,2,0.2178559,0.22026528,0.049360342,0.053936433
26,2020,3,0.22857738,0.22262727,0.051241267,0.058806624
27,2020,4,0.22875375,0.21963403,0.057779815,0.054265793
28,2020,5,0.21474043,0.22841217,0.062414635,0.053580433
29,2020,6,0.21714473,0.21974562,0.059385143,0.05868105
30,2020,7,0.21957201,0.21353698,0.05845572,0.060676195
31,2020,8,0.21370858,0.2147746,0.057179637,0.053438634
32,2020,9,0.22250524,0.21925786,0.0643636,0.05394719
33,2020,10,0.22565033,0.2186159,0.055002686,0.05459046
34,2020,11,0.23961073,0.20758823,0.061132766,0.054667175
35,2020,12,0.22974153,0.2227123,0.059396874,0.06058211
36,2021,1,0.2243387,0.21882032,0.06029499,0.06111221
37,2021,2,0.22429283,0.21959831,0.05787414,0.053829066
38,2021,3,0.21438442,0.22685884,0.05570467,0.053558137
39,2021,4,0.23147467,0.2240356,0.049568903,0.04926069
40,2021,5,0.21890591,0.2144569,0.051861197,0.054774277
41,2021,6,0.23840551,0.22006993,0.057417437,0.053242896
42,2021,7,0.23176448,0.2170945,0.0532371,0.06197979
43,2021,8,0.22178045,0.23077284,0.051735546,0.051600453
44,2021,9,0.21177788,0.21695821,0.05719564,0.057176784
45,2021,10,0.2282803,0.224256,0.05131886,0.056628782
46,2021,11,0.23109733,0.22539315,0.064888865,0.05084289
47,2021,12,0.21756376,0.19484867,0.067356355,0.048487388
48,2022,1,0.2257386,0.22973455,0.05632067,0.047377206
49,2022,2,0.21984474,0.22592145,0.061944854,0.04894701
50,2022,3,0.2243189,0.21862009,0.05093102,0.055615585
51,2022,4,0.21578681,0.22622146,0.05232765,0.055276923
52,2022,5,0.21671031,0.2202826,0.05443061,0.052369382
53,2022,6,0.2199578,0.22719836,0.06250165,0.060030118
